r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0
1,7,1.0,0.04421768707482993,0.0,0.0
1,8,1.0,0.16326530612244894,0.0,0.0
1,9,1.0,0.2619047619047619,0.0,0.0
1,10,1.0,0.3333333333333334,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,1.0,0.0,0.0,0.0
2,5,1.0,0.0,0.0,0.0
2,6,1.0,0.0,0.0,0.0
2,7,1.0,0.008333333333333333,0.0,0.0
2,8,1.0,0.02678571428571428,0.0,0.0
2,9,1.0,0.0375,0.0,0.0
2,10,1.0,0.0,0.0,0.0
3,2,1.0,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.0,0.0,0.0
3,6,1.0,0.0,0.0,0.0
3,7,1.0,0.0,0.0,0.0
3,8,1.0,0.004761904761904761,0.0,0.0
3,9,1.0,0.0,0.0,0.0
3,10,1.0,0.011111111111111115,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,1.0,0.0,0.0,0.0
4,5,1.0,0.0,0.0,0.0
4,6,1.0,0.0,0.0,0.0
4,7,1.0,0.0,0.0,0.0
4,8,1.0,0.0,0.0,0.0
4,9,1.0,0.0,0.0,0.0
4,10,1.0,0.0,0.0,0.0
5,2,1.0,0.0,0.0,0.0
5,3,1.0,0.0,0.0,0.0
5,4,1.0,0.0,0.0,0.0
5,5,1.0,0.0,0.0,0.0
5,6,1.0,0.0,0.0,0.0
5,7,1.0,0.0,0.0,0.0
5,8,1.0,0.0,0.0,0.0
5,9,1.0,0.0,0.0,0.0
5,10,1.0,0.0,0.0,0.0
6,2,1.0,0.0,0.0,0.0
6,3,1.0,0.0,0.0,0.0
6,4,1.0,0.0,0.0,0.0
6,5,1.0,0.0,0.0,0.0
6,6,1.0,0.0,0.0,0.0
6,7,1.0,0.0,0.0,0.0
6,8,1.0,0.0,0.0,0.0
6,9,1.0,0.0,0.0,0.0
6,10,1.0,0.0,0.0,0.0
7,2,1.0,0.0,0.0,0.0
7,3,1.0,0.0,0.0,0.0
7,4,1.0,0.0,0.0,0.0
7,5,1.0,0.0,0.0,0.0
7,6,1.0,0.0,0.0,0.0
7,7,1.0,0.0,0.0,0.0
7,8,1.0,0.0,0.0,0.0
7,9,1.0,0.0,0.0,0.0
7,10,1.0,0.0,0.0,0.0
