r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5552813517055541,1.0,1.0,1.0
1,3,0.5336818726131451,0.9,0.9,0.9
1,4,0.6512658305878444,0.9,0.9,0.9
1,5,0.6533682530735003,0.975,0.9800000000000001,0.9983333333333333
1,6,0.6729826809294347,1.0,1.0,1.0
1,7,0.6154451068886845,0.8595238095238095,0.8857142857142858,0.8571428571428571
1,8,0.707822718173356,0.875,0.9,0.875
1,9,0.7207176311907947,0.9527777777777778,1.0,0.9527777777777778
1,10,0.6837313982096201,0.9977777777777778,1.0,0.9977777777777778
2,2,0.5391628042606427,0.8833333333333334,0.8833333333333334,0.85
2,3,0.6541970760332918,1.0,1.0,1.0
2,4,0.6453896916767913,0.95,0.95,0.95
2,5,0.6923478411711702,0.975,0.9800000000000001,0.9983783783783784
2,6,0.708138582099415,0.9566666666666667,1.0,0.9661842105263159
2,7,0.6845406047070921,0.9511904761904763,1.0,0.9637057387057386
2,8,0.7406081007589018,1.0,1.0,1.0
2,9,0.6629481673387252,0.9511111111111111,0.99,0.9111111111111111
2,10,0.6890909499767118,0.945,1.0,0.9453571428571429
3,2,0.6250296522594325,0.9299999999999999,0.9299999999999999,0.9328571428571427
3,3,0.6325369428865453,0.9888888888888889,1.0,0.9996996996996999
3,4,0.671762692448401,0.8805555555555555,0.8888888888888887,0.8609686609686611
3,5,0.6591998114190152,0.968939393939394,0.9818181818181818,0.9264095803120191
3,6,0.7235664675630914,0.9766666666666668,0.9888888888888889,0.9777519379844961
3,7,0.6614754685054937,0.9233068783068784,0.9374603174603175,0.8521919879062736
3,8,0.7102060987121266,0.9259033613445379,0.9699509803921569,0.8830420466058765
3,9,0.6632466553334135,0.9607699805068227,0.9857699805068225,0.906386999244142
3,10,0.7545733643340434,0.9213756613756614,0.9685714285714286,0.8769991700383859
4,2,0.619902624807241,0.95,0.95,0.95
4,3,0.6584593298868838,0.9625,0.975,0.966559829059829
4,4,0.6648540425711588,0.9185897435897437,0.9211538461538462,0.8996794871794872
4,5,0.6581351594694751,0.9217763157894735,0.9318421052631578,0.9169703282828282
4,6,0.7103790933854179,0.8771650717703349,0.9062200956937799,0.8181582125603863
4,7,0.7479907591537919,0.861038961038961,0.9134545454545455,0.8248273615001555
4,8,0.7812767108243227,0.9024234693877551,0.9183035714285716,0.8766286375661376
4,9,0.727151919019415,0.8925595238095237,0.976190476190476,0.8543240541830768
4,10,0.7953987617314571,0.8156989247311829,0.9167741935483873,0.7719060457516339
5,2,0.6457224806798082,0.9488888888888889,0.9488888888888889,0.9399999999999998
5,3,0.6801259193359135,0.96,0.96,0.96
5,4,0.7196552238867613,0.9624509803921569,0.9691176470588235,0.9595555555555556
5,5,0.7183105895634234,0.9364880952380952,0.9495714285714285,0.9039591836734694
5,6,0.7765993846642905,0.9503809523809525,0.9790476190476192,0.9466037735849057
5,7,0.7705525314556537,0.9133523193760263,0.9096767241379311,0.8860038986354777
5,8,0.7724408305452827,0.8926860974274767,0.9201724137931034,0.8567824355971897
5,9,0.77132229456149,0.881006006006006,0.9684084084084084,0.863668016194332
5,10,0.8189902508975407,0.8793232323232324,0.9604545454545453,0.8522771259872709
6,2,0.6210807580404681,0.9303030303030303,0.9303030303030303,0.9166666666666666
6,3,0.6759202815385306,0.953125,0.9708333333333334,0.9498676498392891
6,4,0.6965662395650423,0.9180555555555555,0.9482142857142858,0.9046643518518518
6,5,0.7542284638111593,0.9392307692307693,0.9794871794871796,0.9473584905660377
6,6,0.7427408106994953,0.8670090223705351,0.9006365097021382,0.8526894021542688
6,7,0.7779800406984557,0.9290293040293041,0.9778388278388279,0.923740236835475
6,8,0.7744173441387581,0.8840763910885862,0.9676367331855136,0.8674897110483537
6,9,0.7906438512293609,0.8469643147703291,0.912008762501112,0.7890109715880264
6,10,0.8054973406699617,0.794448075526507,0.9214488017429193,0.7232288698955366
7,2,0.6483193755792627,0.9197802197802197,0.9197802197802197,0.9142857142857143
7,3,0.7050009121910601,0.9714285714285715,0.980952380952381,0.9987830687830686
7,4,0.7588565558579751,0.9416666666666668,0.9642857142857144,0.9582866479925304
7,5,0.7310989876074597,0.9080468961778259,0.9499349417186231,0.8855748746867167
7,6,0.7738309539069631,0.8467290862290862,0.9237966537966539,0.8054318281549163
7,7,0.7610308737779972,0.851034835572247,0.9325402385423329,0.7978617842770459
7,8,0.7966574951198961,0.9251848944706088,0.9372405372405372,0.8963401360544218
7,9,0.8500680570149866,0.7812012987012987,0.9147186147186147,0.7634553203997648
7,10,0.8462495607121696,0.856220238095238,0.9508928571428571,0.8471665754424376
8,2,0.6362667849400487,0.9491666666666667,0.9491666666666667,0.9740624999999999
8,3,0.6763249895983847,0.9630681818181819,0.9863636363636366,0.9497783687943262
8,4,0.721111401344367,0.8891163793103448,0.9123922413793103,0.8936966684822076
8,5,0.7737178018586637,0.9170619658119659,0.9435683760683761,0.9033888319672132
8,6,0.7623218849059306,0.8937670164492342,0.9329114671960672,0.8789249058002072
8,7,0.8052065799191312,0.8208559337424252,0.8893431782990195,0.7704825114499028
8,8,0.7865858026842971,0.8259962406015038,0.9288870614035087,0.7890349297552042
8,9,0.8303536957147857,0.8070027466832504,0.8855229063018243,0.7927478527997411
8,10,0.8406238657750233,0.8307290741445671,0.9276931861438902,0.799943127394636
9,2,0.6484298879252461,0.9320261437908499,0.9320261437908499,0.9547425474254745
9,3,0.6873794011352753,0.9657777777777777,0.9842962962962964,0.9444444444444444
9,4,0.7690362116339535,0.9021885521885521,0.9262626262626263,0.8942332683560752
9,5,0.7286520685319063,0.8992374969204237,0.9540527223454053,0.8620434356172062
9,6,0.8041192861364321,0.8766210244781674,0.937752194895052,0.8531847328937363
9,7,0.7812825406800354,0.8455054302422724,0.9127930938457254,0.7880759960204407
9,8,0.808135829364323,0.8079312389100238,0.9120788105069686,0.7611656228920023
9,9,0.8393856829661038,0.7964351043563036,0.9062611295152256,0.7509119207342755
9,10,0.8314139103929999,0.7542935528120714,0.8890123456790123,0.7026852219282775
10,2,0.6541995409705386,0.958421052631579,0.958421052631579,0.9400000000000001
10,3,0.7535411670183074,0.8709523809523809,0.8845238095238095,0.8762091503267972
10,4,0.7404999498978647,0.8990090090090088,0.9333783783783783,0.8780752923976609
10,5,0.8113047904269353,0.7833597062013211,0.8183419106773145,0.7660380598727785
10,6,0.815484528480367,0.8268055637704304,0.8752470377161332,0.7855969087189346
10,7,0.8446172426678242,0.8492857142857144,0.9343750000000002,0.8348693466317986
10,8,0.8352821779540257,0.8115388549545395,0.889898814561717,0.7580845835296136
10,9,0.8795380721783825,0.7003032942667089,0.8410804913243938,0.6777707043784196
10,10,0.8752588645455243,0.7502844932844935,0.906889642272621,0.7046428726136329
